YEARMODA,TEMP,MAX,MIN,DIFF,TEMP_CELSIUS,TEMP_KELVIN
20160601,65.5,73.6,54.7,18.89999999999999,18.61,291.76
20160602,65.8,80.8,55.0,25.799999999999997,18.78,291.92999999999995
20160603,68.4,,55.6,,20.22,293.37
20160604,57.5,70.9,47.3,23.60000000000001,14.17,287.32
20160605,51.4,58.3,43.2,15.099999999999994,10.78,283.92999999999995
20160606,52.2,59.7,42.8,16.900000000000006,11.22,284.37
20160607,56.9,65.1,45.9,19.199999999999996,13.83,286.97999999999996
20160608,54.2,,47.5,,12.33,285.47999999999996
20160609,49.4,54.1,45.7,8.399999999999999,9.67,282.82
20160610,49.5,55.9,43.0,12.899999999999999,9.72,282.87
20160611,54.0,62.1,41.7,20.4,12.22,285.37
20160612,55.4,64.2,46.0,18.200000000000003,13.0,286.15
20160613,58.3,68.2,47.3,20.900000000000006,14.61,287.76
20160614,59.7,67.8,47.8,20.0,15.39,288.53999999999996
20160615,63.4,70.3,49.3,21.0,17.44,290.59
20160616,57.8,67.5,55.6,11.899999999999999,14.33,287.47999999999996
20160617,60.4,70.7,55.9,14.800000000000004,15.78,288.92999999999995
20160618,57.3,,54.0,,14.06,287.21
20160619,56.3,59.2,54.1,5.100000000000001,13.5,286.65
20160620,59.3,69.1,52.2,16.89999999999999,15.17,288.32
20160621,62.6,71.4,50.4,21.000000000000007,17.0,290.15
20160622,61.7,70.2,55.4,14.800000000000004,16.5,289.65
20160623,60.9,67.1,54.9,12.199999999999996,16.06,289.21
20160624,61.1,68.9,56.7,12.200000000000003,16.17,289.32
20160625,65.7,75.4,57.9,17.500000000000007,18.72,291.87
20160626,69.6,77.7,60.3,17.400000000000006,20.89,294.03999999999996
20160627,60.7,70.0,,,15.94,289.09
20160628,65.4,73.0,55.8,17.200000000000003,18.56,291.71
20160629,65.8,73.2,,,18.78,291.92999999999995
20160630,65.7,72.7,59.2,13.5,18.72,291.87
